Date,005930.KS,051910.KS,005380.KS,035420.KS,017670.KS,207940.KS,068270.KS,035720.KS,006400.KS,051900.KS
2009-01-02,9400.0,75100.0,41700.0,31255.900390625,210000.0,,9164.73046875,30000.0,56700.0,178000.0
2009-01-05,9520.0,78400.0,45000.0,31010.80078125,204000.0,,9300.83984375,29900.0,57700.0,165500.0
2009-01-06,9960.0,79200.0,46000.0,29907.599609375,205000.0,,9845.2802734375,30750.0,60700.0,171000.0
2009-01-07,10480.0,81000.0,49900.0,31991.30078125,204500.0,,10435.099609375,32450.0,63000.0,165500.0
2009-01-08,10160.0,77900.0,47900.0,31868.80078125,205000.0,,10616.599609375,31850.0,62700.0,167000.0
2009-01-09,9860.0,77700.0,46700.0,31868.80078125,206000.0,,10435.099609375,31600.0,61200.0,167000.0
2009-01-12,9790.0,78000.0,45150.0,30765.599609375,204500.0,,9799.91015625,29900.0,63000.0,162500.0
2009-01-13,9830.0,78800.0,46000.0,31501.0,204500.0,,10117.5,29900.0,63500.0,159000.0
2009-01-14,9790.0,79900.0,48000.0,32236.5,207000.0,,10117.5,30950.0,63500.0,160500.0
2009-01-15,9190.0,75700.0,43000.0,30888.19921875,208500.0,,9754.5400390625,28500.0,60000.0,151500.0
2009-01-16,9360.0,79600.0,43100.0,31868.80078125,214500.0,,10344.2998046875,29700.0,64100.0,154500.0
2009-01-19,9500.0,78900.0,44050.0,31746.19921875,210000.0,,10571.2001953125,30600.0,67300.0,166500.0
2009-01-20,9280.0,77000.0,42950.0,31623.599609375,207500.0,,10208.2001953125,29650.0,66700.0,162000.0
2009-01-21,8970.0,75400.0,43500.0,31010.80078125,209500.0,,9936.01953125,28450.0,65300.0,160000.0
2009-01-22,9220.0,74700.0,42250.0,31010.80078125,212000.0,,9936.01953125,28700.0,64200.0,162000.0
2009-01-23,8840.0,74600.0,42000.0,29785.0,210000.0,,9346.2099609375,27100.0,63000.0,163000.0
2009-01-28,9770.0,79700.0,47000.0,31010.80078125,218000.0,,9754.5400390625,27200.0,67000.0,168000.0
2009-01-29,9970.0,80700.0,48500.0,33584.80078125,212000.0,,10208.2001953125,27650.0,69600.0,169000.0
2009-01-30,9780.0,81000.0,47550.0,34197.6015625,207500.0,,10162.900390625,27500.0,67300.0,166000.0
2009-02-02,9470.0,79800.0,46400.0,35423.3984375,204000.0,,10480.5,27300.0,64700.0,165000.0
2009-02-03,9800.0,78700.0,48050.0,34075.1015625,203500.0,,10344.2998046875,27650.0,66700.0,164500.0
2009-02-04,10360.0,79200.0,51900.0,33829.8984375,201000.0,,10707.2998046875,27350.0,67600.0,163000.0
2009-02-05,10420.0,81600.0,51600.0,31868.80078125,203500.0,,10435.099609375,26900.0,66400.0,161500.0
2009-02-06,10900.0,82400.0,53300.0,30888.19921875,202000.0,,10208.2001953125,26700.0,66100.0,165500.0
2009-02-09,10540.0,83400.0,51700.0,30520.5,203000.0,,10117.5,27000.0,64600.0,162500.0
2009-02-10,10400.0,82800.0,51600.0,31501.0,203500.0,,10162.900390625,26700.0,65000.0,165500.0
2009-02-11,10260.0,84500.0,51600.0,32113.900390625,199500.0,,9754.5400390625,25850.0,64100.0,159000.0
2009-02-12,10400.0,84100.0,51000.0,32236.5,199500.0,,10299.0,26200.0,63300.0,163000.0
2009-02-13,10280.0,85100.0,52300.0,32481.599609375,201500.0,,11342.5,25750.0,64700.0,160000.0
2009-02-16,10080.0,87800.0,50400.0,33339.6015625,196000.0,,12386.0,26000.0,63700.0,157500.0
2009-02-17,9810.0,85800.0,48950.0,32113.900390625,193500.0,,12023.0,24200.0,63700.0,154500.0
2009-02-18,9560.0,84000.0,48200.0,31378.5,191000.0,,13792.5,25000.0,64000.0,157500.0
2009-02-19,9610.0,82800.0,47700.0,32359.0,192500.0,,13520.2001953125,25650.0,63900.0,158000.0
2009-02-20,9350.0,82500.0,46700.0,32849.30078125,191000.0,,13520.2001953125,25550.0,62000.0,158000.0
2009-02-23,9700.0,83600.0,49400.0,34687.8984375,197000.0,,13928.599609375,26900.0,61700.0,154500.0
2009-02-24,9350.0,83100.0,47550.0,33462.19921875,191000.0,,14200.7998046875,27100.0,60000.0,156000.0
2009-02-25,9560.0,85000.0,49100.0,33462.19921875,195000.0,,12113.7998046875,26500.0,60200.0,151500.0
2009-02-26,9540.0,85400.0,49200.0,33952.5,192000.0,,11433.2001953125,26100.0,57500.0,158000.0
2009-02-27,9540.0,84500.0,48700.0,32604.19921875,187500.0,,10934.2001953125,25500.0,57500.0,149500.0
2009-03-02,9240.0,79100.0,47000.0,31255.900390625,184500.0,,11024.900390625,24000.0,54500.0,150000.0
2009-03-03,9510.0,78600.0,49050.0,32481.599609375,181500.0,,11161.0,23850.0,55000.0,156000.0
2009-03-04,9780.0,81300.0,50500.0,32604.19921875,184000.0,,12522.099609375,24500.0,55500.0,154000.0
2009-03-05,10060.0,81400.0,49800.0,34075.1015625,188500.0,,12431.400390625,23900.0,57000.0,158000.0
2009-03-06,10000.0,82700.0,50200.0,32971.8984375,184000.0,,13157.2998046875,23200.0,59300.0,164000.0
2009-03-09,10300.0,81500.0,51000.0,34810.5,181000.0,,14246.2001953125,23950.0,59000.0,164500.0
2009-03-10,10080.0,83600.0,49700.0,35178.19921875,183500.0,,12794.2998046875,25600.0,57700.0,158500.0
2009-03-11,10500.0,85200.0,50000.0,37261.8984375,190000.0,,13066.5,27250.0,59200.0,155500.0
2009-03-12,10720.0,85000.0,50000.0,36649.1015625,195000.0,,13202.7001953125,27200.0,60000.0,159000.0
2009-03-13,10560.0,86000.0,51600.0,35055.6015625,188500.0,,13248.0,27900.0,60800.0,160000.0
2009-03-16,10460.0,87000.0,53000.0,34442.80078125,186000.0,,12522.099609375,27700.0,60300.0,165000.0
2009-03-17,10680.0,87400.0,54400.0,35300.80078125,187000.0,,12975.7998046875,27500.0,61300.0,161000.0
2009-03-18,10800.0,83800.0,54100.0,36403.8984375,187000.0,,13157.2998046875,27300.0,59600.0,157000.0
2009-03-19,10820.0,83000.0,51600.0,36403.8984375,187000.0,,12476.7001953125,27650.0,56900.0,158500.0
2009-03-20,10840.0,84000.0,51800.0,37016.80078125,188000.0,,12658.2001953125,28800.0,58500.0,155500.0
2009-03-23,11000.0,85500.0,52900.0,37629.6015625,190000.0,,13021.2001953125,28500.0,61000.0,157000.0
2009-03-24,11180.0,90000.0,53900.0,40081.1015625,187500.0,,13883.2001953125,30400.0,63000.0,154000.0
2009-03-25,11120.0,90000.0,52800.0,39345.69921875,190000.0,,14019.2998046875,30450.0,66500.0,155000.0
2009-03-26,11400.0,88500.0,53700.0,41061.69921875,191000.0,,14019.2998046875,30700.0,67000.0,155000.0
2009-03-27,11680.0,90000.0,55100.0,41429.3984375,194000.0,,14246.2001953125,29100.0,65900.0,151000.0
2009-03-30,11340.0,90000.0,53000.0,38610.19921875,194500.0,,14790.599609375,29000.0,64600.0,148000.0
2009-03-31,11360.0,90000.0,55500.0,37016.80078125,192000.0,,14609.099609375,28650.0,65500.0,150500.0
2009-04-01,11400.0,90000.0,58100.0,37507.1015625,187500.0,,14926.7001953125,29450.0,70500.0,151000.0
2009-04-02,11820.0,90000.0,60700.0,38732.80078125,187000.0,,14926.7001953125,30850.0,71500.0,152000.0
2009-04-03,11860.0,90000.0,61500.0,38365.1015625,184500.0,,15198.900390625,32450.0,72400.0,154000.0
2009-04-06,11880.0,90000.0,62100.0,38365.1015625,186000.0,,16151.7001953125,34400.0,73500.0,155000.0
2009-04-07,11680.0,90000.0,62700.0,39468.19921875,185500.0,,15652.599609375,36800.0,73700.0,156000.0
2009-04-08,11140.0,90000.0,60200.0,39345.69921875,183000.0,,15335.0,37000.0,76500.0,152000.0
2009-04-09,11600.0,90000.0,65500.0,40694.0,184500.0,,15561.900390625,39800.0,78500.0,153000.0
2009-04-10,12060.0,90000.0,64700.0,41061.69921875,186500.0,,15108.2001953125,39900.0,77800.0,159000.0
2009-04-13,11660.0,90000.0,66100.0,42042.19921875,192500.0,,15607.2998046875,38750.0,75500.0,159000.0
2009-04-14,11500.0,90000.0,66300.0,42777.69921875,192500.0,,15198.900390625,39250.0,76000.0,163500.0
2009-04-15,11700.0,90000.0,65900.0,40448.80078125,191500.0,,15743.400390625,38000.0,77400.0,167500.0
2009-04-16,11620.0,90000.0,64600.0,39958.5,191000.0,,14972.099609375,37000.0,76000.0,166000.0
2009-04-17,11940.0,90000.0,65300.0,37752.19921875,186500.0,,14246.2001953125,35500.0,77900.0,164000.0
2009-04-20,11840.0,127500.0,65900.0,40571.3984375,185000.0,,14654.5,35850.0,77500.0,165000.0
2009-04-21,11820.0,128500.0,64500.0,38977.8984375,185500.0,,14563.7998046875,37450.0,84300.0,163500.0
2009-04-22,12180.0,126500.0,66000.0,39100.5,184500.0,,14699.900390625,37950.0,87700.0,166500.0
2009-04-23,12540.0,134500.0,68100.0,38242.5,184500.0,,14427.599609375,36700.0,88300.0,175500.0
2009-04-24,11840.0,133500.0,66700.0,39223.1015625,185500.0,,14881.2998046875,35500.0,87700.0,177000.0
2009-04-27,11700.0,133500.0,65600.0,37507.1015625,186500.0,,15425.7998046875,35000.0,86500.0,174000.0
2009-04-28,11500.0,128000.0,63900.0,37384.5,186500.0,,13973.900390625,32000.0,83100.0,174000.0
2009-04-29,11720.0,139500.0,65700.0,38487.69921875,187000.0,,14473.0,34100.0,90000.0,172000.0
2009-04-30,11840.0,141500.0,68500.0,38119.8984375,183500.0,,14019.2998046875,35200.0,92000.0,176500.0
2009-05-04,11640.0,138000.0,68900.0,39223.1015625,180500.0,,14155.400390625,35200.0,92500.0,178500.0
2009-05-06,11300.0,139000.0,68900.0,38855.3984375,180000.0,,14609.099609375,35200.0,89800.0,177500.0
2009-05-07,11320.0,136000.0,66500.0,38487.69921875,182000.0,,14382.2998046875,36000.0,87900.0,173000.0
2009-05-08,11380.0,134000.0,65400.0,39100.5,180500.0,,14291.5,36000.0,87300.0,175500.0
2009-05-11,11260.0,133000.0,64800.0,41306.80078125,183500.0,,14427.599609375,35900.0,88000.0,178000.0
2009-05-12,11220.0,134000.0,65400.0,42532.5,182500.0,,14246.2001953125,35900.0,87800.0,177500.0
2009-05-13,11200.0,135000.0,65100.0,45351.69921875,181500.0,,13928.599609375,36650.0,88900.0,181000.0
2009-05-14,11040.0,128500.0,64000.0,44126.0,179000.0,,15062.7998046875,34500.0,86600.0,179000.0
2009-05-15,11100.0,130500.0,63500.0,44126.0,180000.0,,14654.5,34300.0,90100.0,178500.0
2009-05-18,11120.0,131500.0,64200.0,44126.0,178500.0,,14836.0,33550.0,91000.0,188000.0
2009-05-19,11400.0,136500.0,66800.0,45842.0,178000.0,,14745.2001953125,36200.0,92900.0,188500.0
2009-05-20,11520.0,135500.0,67300.0,48293.3984375,177500.0,,16242.400390625,36700.0,97900.0,185000.0
2009-05-21,11260.0,134500.0,66700.0,48170.8984375,177000.0,,16605.400390625,36000.0,94500.0,180000.0
2009-05-22,11000.0,141000.0,64300.0,47558.0,176500.0,,16877.599609375,35500.0,95600.0,182500.0
2009-05-25,10900.0,144000.0,65800.0,47190.30078125,180000.0,,16333.2001953125,36300.0,94800.0,178500.0
2009-05-26,10760.0,151000.0,64500.0,45842.0,179000.0,,15788.7001953125,34700.0,92100.0,180000.0
2009-05-27,10700.0,147000.0,64100.0,44003.3984375,178500.0,,16106.2998046875,33600.0,102000.0,179500.0
2009-05-28,11180.0,146500.0,67800.0,46087.1015625,178000.0,,16151.7001953125,35850.0,101500.0,184500.0
2009-05-29,11160.0,153000.0,69300.0,48783.69921875,176000.0,,17059.099609375,36950.0,103500.0,193500.0
2009-06-01,11160.0,153000.0,71900.0,49028.8984375,173000.0,,17376.69921875,38000.0,105500.0,198000.0
2009-06-02,11120.0,148000.0,71400.0,47190.30078125,170500.0,,17149.80078125,38400.0,102000.0,198500.0
2009-06-03,11040.0,140500.0,71600.0,45229.1015625,177000.0,,17830.400390625,38800.0,101500.0,200500.0
2009-06-04,11100.0,137500.0,72900.0,44126.0,176000.0,,16832.30078125,38800.0,97000.0,200000.0
