Date,KOSPI2 INDEX,005930 KS EQUITY,MXWO INDEX,CCMP INDEX,SPX INDEX,VIX INDEX,NDX INDEX,SX5E INDEX,NKY INDEX,DAX INDEX,HSI INDEX,SXXP INDEX,UKX INDEX,TPX INDEX,SHCOMP INDEX,MXEF INDEX,MXWD INDEX,SOX INDEX,DXY INDEX,FEDL01 INDEX,KOSDAQ INDEX,XAU BGN CURNCY,USDKRW BGN Curncy,EHGDKRY Index,USDCNY BGN Curncy,USDEUR Curncy,GJGB10 INDEX,CAD BGN CURNCY,GT10 GOVT,GBPUSD CURNCY,USDJPY CURNCY,BRL CURNCY,CL1 COMDTY,SMI INDEX
1999.2.28,60.28,1230,1141.33,2288.03,1238.33,27.88,1925.28,3484.24,14367.54,4911.81,9858.49,289.96,6175.1,1120.03,1090.087,296.56,271.21,356.26,98.71,4.76,723,287.05,1222.75,#N/A N/A,8.2789,0.9067,2.015,1.5095,5.287,1.6025,119.2,2.035,12.27,7063.8
1999.3.31,71.84,1356,1187.55,2461.4,1286.37,23.26,2106.39,3559.86,15836.59,4884.2,10942.2,297.15,6295.3,1267.22,1158.054,334.75,283.04,370.73,100.1,4.81,797.9,280.05,1227,#N/A N/A,8.28,0.9292,1.764,1.5063,5.242,1.6112,118.9,1.7175,16.76,7130.2
1999.4.30,87.15,1304,1233.06,2542.85,1335.18,25.07,2136.39,3757.87,16701.53,5393.11,13333.2,312.35,6552.2,1337.12,1120.927,375.66,294.92,370.27,101,4.74,1191,286.55,1175.13,#N/A N/A,8.279,0.9461,1.439,1.4565,5.348,1.6095,119.48,1.665,18.66,7335.5
1999.5.31,85.68,1209,1186.7,2470.52,1301.84,25.39,2089.7,3629.46,16111.65,5069.83,12147.12,301.22,6226.2,1297.19,1279.326,372.33,284.11,388.13,102.28,4.74,1454.8,270.35,1186.25,#N/A N/A,8.2785,0.9597,1.496,1.4734,5.622,1.6026,121.8,1.721,16.84,6911.6
1999.6.30,105.47,1859,1240.75,2686.12,1372.71,21.09,2296.77,3788.66,17529.74,5378.52,13532.14,309.69,6318.5,1416.2,1689.428,413.81,297.89,484.45,102.85,4.76,1795.5,262.5,1157.5,#N/A N/A,8.2787,0.9661,1.87,1.4631,5.78,1.5778,121.1,1.7525,19.29,6908.9
1999.7.31,116.14,2767,1235.7,2638.49,1328.72,24.64,2270.93,3638.62,17861.86,5101.87,13186.86,301.28,6231.9,1478.93,1601.459,401.94,296.31,493.97,99.75,4.99,1929.7,255.95,1203.5,#N/A N/A,8.2774,0.9335,1.776,1.5066,5.903,1.6216,114.53,1.801,20.53,6887.4
1999.8.31,112.79,3280,1232.16,2739.35,1320.41,24.45,2396.87,3769.14,17436.56,5270.77,13482.77,308.69,6246.4,1457.02,1627.116,405.3,295.6,521.96,99.95,5.07,2009.6,255.68,1180.5,#N/A N/A,8.277,0.9464,1.935,1.4928,5.97,1.6038,109.73,1.919,22.11,7008.8
1999.9.30,100.71,2884,1218.9,2746.16,1282.71,25.41,2407.9,3669.71,17605.46,5149.83,12733.24,303.91,6029.8,1506.83,1570.702,391.07,292.06,499.07,98.54,5.22,1571.2,298.75,1217.5,#N/A N/A,8.2778,0.936,1.73,1.4672,5.877,1.6473,106.46,1.9375,24.51,6907.4
1999.10.31,100.19,2928,1280.94,2966.43,1362.93,22.2,2637.44,3922.91,17942.08,5525.4,13256.95,317.27,6255.7,1563.89,1504.563,399.05,306.5,555.83,99.06,5.2,1793.8,299.2,1199.5,#N/A N/A,8.2778,0.948,1.819,1.4707,6.024,1.6448,104.1,1.949,21.75,7160.3
1999.11.30,123.59,3514,1315.68,3336.16,1388.91,24.18,2966.71,4314.38,18558.23,5896.04,15377.19,342.13,6597.2,1641.53,1434.973,434.7,315.68,609.39,101.99,5.42,2292,290.7,1159.25,#N/A N/A,8.2789,0.9908,1.84,1.4738,6.191,1.5981,102.16,1.923,24.59,7399.7
1999.12.31,130.02,3895,1420.89,4069.31,1469.25,24.64,3707.83,4904.46,18934.34,6958.14,16962.1,379.49,6930.2,1722.2,1366.58,489.42,341.63,704.56,101.87,5.3,2561.4,288,1140,11.37,8.2795,0.9938,1.675,1.4461,6.442,1.6182,102.51,1.799,25.6,7570.1
2000.1.31,119.08,4116,1338.25,3940.35,1394.46,24.95,3570.05,4684.48,19539.7,6835.6,15532.34,360.93,6268.5,1707.96,1534.997,491.39,322.83,778.06,105.13,5.45,1903.7,283.5,1124.93,11.37,8.2777,1.0302,1.735,1.4479,6.665,1.6162,107.32,1.784,27.64,6894.7
2000.2.29,103.17,3777,1340.58,4696.69,1366.42,23.37,4266.94,5182.62,19959.52,7644.55,17169.44,386.01,6232.6,1718.94,1714.578,497.74,323.59,1170.46,105.92,5.73,2663.7,292.2,1131.11,11.37,8.2786,1.0371,1.852,1.4497,6.409,1.5792,110.33,1.7665,30.43,6910.1
2000.3.31,108.03,4942,1431.94,4572.83,1498.58,24.11,4397.84,5249.55,20337.32,7599.39,17406.54,394.1,6540.2,1705.94,1800.225,499.4,344.5,1181.89,105.44,5.85,2212.7,279.08,1116.43,11.37,8.2787,1.0466,1.781,1.4488,6.004,1.5911,102.78,1.736,26.9,7428.1
2000.4.30,91.21,4426,1370.11,3860.66,1452.43,26.2,3773.18,5303.95,17973.7,7414.68,15519.3,392.62,6327.4,1648.87,1836.321,451.36,328.68,1171.64,110.14,6.02,1581.8,273.55,1109.75,11.37,8.2799,1.0966,1.764,1.4798,6.212,1.5513,108.18,1.807,25.74,7406.2
2000.5.31,92.74,4544,1334.14,3400.91,1420.6,23.65,3324.08,5200.89,16332.45,7109.67,14713.86,380.24,6359.3,1522.84,1894.554,431.7,319.78,998.43,108.74,6.27,1441.5,272.1,1129.45,11.37,8.2773,1.0661,1.665,1.4966,6.272,1.5014,107.66,1.824,29.01,7754
2000.6.30,104.43,5451,1377.72,3966.11,1454.6,19.54,3763.79,5145.35,17411.05,6898.21,16155.78,376.74,6312.7,1591.6,1928.106,445.52,330.21,1140.53,106.84,6.53,1518.6,289.53,1115.03,11.37,8.2782,1.0499,1.761,1.481,6.031,1.5141,106.12,1.806,32.5,7761.6
2000.7.31,89.35,4358,1337.65,3766.99,1430.83,20.74,3609.35,5122.8,15727.49,7190.37,16840.98,382.63,6365.3,1453.15,2023.539,422.08,320.16,993.85,109.61,6.54,1158,277.25,1116.75,11.37,8.2792,1.0792,1.683,1.4863,6.031,1.4997,109.43,1.7815,27.43,8023.2
2000.8.31,86.54,4040,1379.87,4206.35,1517.68,16.84,4077.59,5175.12,16861.26,7216.45,17097.51,394.96,6672.7,1511.44,2021.199,423.56,329.76,1152.98,112.6,6.5,1085.9,277.85,1107.78,11.37,8.2786,1.1264,1.887,1.472,5.725,1.4473,106.67,1.8235,33.12,8219.9
2000.9.30,76.37,2984,1305.24,3672.82,1436.51,20.57,3570.61,4915.18,15747.26,6798.12,15648.98,377.44,6294.2,1470.78,1910.161,386.03,311.31,851.57,113.25,6.52,901.7,274.25,1115.15,11.37,8.2798,1.1329,1.847,1.5032,5.802,1.4754,108.14,1.844,30.84,7713.3
2000.10.31,64,2105,1282.14,3369.63,1429.4,23.63,3282.3,5057.46,14539.6,7077.44,14895.34,388.03,6438.4,1379.96,1961.287,357.85,304.9,741.83,116.65,6.51,746.8,265.15,1137,11.37,8.2775,1.178,1.813,1.5237,5.751,1.4477,108.84,1.901,32.7,7977.5
2000.11.30,63.48,2393,1203.05,2597.93,1314.95,29.65,2506.54,4790.08,14648.51,6372.33,13984.39,363.25,6142.2,1362.66,2070.613,326.36,285.68,536.99,115.24,6.51,672.6,270.45,1215.5,11.37,8.2777,1.1456,1.622,1.537,5.468,1.4251,110.38,1.98,33.82,7981.9
2000.12.31,63.35,2334,1221.25,2470.52,1320.28,26.85,2341.7,4772.39,13785.69,6433.61,15095.53,359.79,6222.5,1283.67,2073.477,333.79,290.11,576.61,109.56,6.4,525.8,272.25,1265,9.21,8.2774,1.0608,1.646,1.4991,5.112,1.493,114.41,1.95,26.8,8135.4
2001.1.31,77.98,3302,1244.22,2772.73,1366.01,22.02,2593,4779.9,13843.55,6795.14,16102.35,362.33,6297.5,1300.23,2065.606,379.02,297.27,732.19,110.52,5.98,843.6,265.85,1257.5,9.21,8.2781,1.0677,1.498,1.4978,5.114,1.4646,116.57,1.972,28.66,8057.4
2001.2.28,72.14,2807,1137.88,2151.83,1239.94,28.35,1908.32,4318.88,12883.54,6208.24,14787.87,335.02,5917.9,1241.48,1959.18,349.02,271.97,541.23,112.01,5.49,767.6,267.15,1254,9.21,8.2783,1.0827,1.35,1.5364,4.896,1.4455,117.37,2.046,27.39,7701.8
2001.3.31,65.16,3122,1061.26,1840.26,1160.33,28.64,1573.25,4185,12999.7,5829.95,12760.64,321.7,5633.7,1277.27,2112.775,313.14,253.12,545.04,117.37,5.31,684.3,257.95,1331.5,9.21,8.2777,1.1406,1.278,1.5757,4.917,1.4161,126.34,2.1525,26.29,7167.8
2001.4.30,72.45,3437,1138.09,2116.24,1249.46,25.48,1855.15,4525.01,13934.32,6264.51,13386.04,342.02,5966.9,1366.46,2119.184,327.71,271.09,662.66,115.76,4.8,789.7,264.05,1315.5,9.21,8.2774,1.1247,1.339,1.535,5.338,1.432,123.48,2.2,28.46,7327.2
2001.5.31,76.09,3182,1121.09,2110.49,1255.82,22.64,1799.89,4426.24,13262.14,6123.26,13174.41,341.97,5796.1,1310.81,2214.257,330.54,267.37,598.71,119.07,4.21,813.5,265.85,1280,9.21,8.277,1.183,1.245,1.538,5.381,1.4184,119.23,2.382,28.37,7487.6
2001.6.30,73.2,2890,1084.79,2161.24,1224.42,19.06,1830.19,4243.91,12969.05,6058.38,13042.53,329.35,5642.5,1300.98,2218.029,322.89,258.84,624.09,119.47,3.97,768.7,270.85,1300.5,9.21,8.2767,1.1779,1.194,1.5143,5.412,1.4153,124.65,2.3105,26.25,7240.2
2001.7.31,66.98,2852,1069.67,2027.13,1211.23,21.62,1683.61,4091.38,11860.77,5861.19,12316.69,316.95,5529.1,1190.31,1920.318,301.67,254.54,605.88,117.18,3.77,680.9,266.65,1298,9.21,8.277,1.141,1.339,1.5335,5.054,1.4252,125,2.4665,26.35,6847.3
2001.8.31,67.42,2859,1016.73,1805.43,1133.58,24.92,1469.7,3743.97,10713.51,5188.17,11090.48,297.66,5345,1103.67,1834.138,298.17,242.41,562.72,113.42,3.65,618.4,274.4,1279.5,9.21,8.2769,1.0961,1.379,1.5512,4.832,1.4539,118.79,2.5635,27.2,6582.4
2001.9.30,58.91,2107,926.02,1498.8,1040.94,31.93,1168.37,3296.66,9774.68,4308.15,9950.7,266.29,4903.4,1023.42,1764.867,251.4,219.96,373.7,113.41,3.07,516.4,293.25,1304.5,9.21,8.2768,1.0972,1.415,1.5792,4.588,1.4744,119.56,2.67,23.43,6014.2
2001.10.31,66.44,2611,943.2,1690.2,1059.78,33.56,1364.78,3478.63,10366.34,4559.13,10073.97,277.41,5039.7,1059.37,1689.17,266.86,224.48,448.02,114.86,2.49,625.5,279.65,1290.5,9.21,8.2768,1.1105,1.315,1.5884,4.232,1.4545,122.42,2.6965,21.18,6081
2001.11.30,80.03,3281,997.93,1930.58,1139.45,23.84,1596.05,3658.27,10697.44,4989.91,11279.25,288.95,5203.6,1050.22,1747.993,294.43,238,518.95,116.13,2.09,705.2,274.4,1273,9.21,8.2774,1.1156,1.364,1.573,4.752,1.4241,123.48,2.4985,19.44,6237
2001.12.31,86.97,4223,1003.52,1950.4,1148.08,23.8,1577.05,3806.13,10542.62,5160.1,11397.21,298.73,5217.4,1032.14,1645.971,317.4,240.03,522.16,116.75,1.82,722.1,278.95,1313.5,4.85,8.2765,1.1242,1.368,1.593,5.051,1.4546,131.66,2.3105,19.84,6417.8
2002.1.31,92.99,4549,972.42,1934.03,1130.21,21.09,1550.17,3670.26,9997.8,5107.61,10725.3,292.45,5164.8,971.77,1491.665,327.75,233.26,558.88,120.21,1.73,773.6,282.55,1311.5,4.85,8.2766,1.1636,1.485,1.5891,5.033,1.4108,134.68,2.413,19.48,6237.3
2002.2.28,102.62,5192,962.73,1731.49,1106.73,21.59,1359.22,3624.74,10587.83,5039.08,10482.55,289.84,5101,1013.8,1524.701,332.77,231.21,510.83,119.16,1.74,787.1,296.55,1318,4.85,8.2765,1.1502,1.53,1.6016,4.877,1.4174,133.36,2.3635,21.74,6352.8
2002.3.31,111.84,5571,1003.6,1845.35,1147.39,17.4,1452.81,3784.05,11024.94,5397.29,11032.92,303.04,5271.8,1060.19,1603.905,351.43,241.17,595.24,118.62,1.73,927.3,302.65,1327,4.85,8.2774,1.1472,1.395,1.5949,5.396,1.4259,132.73,2.325,26.31,6655.2
2002.4.30,106.39,5783,968.25,1688.23,1076.92,21.91,1277.07,3574.23,11492.54,5041.2,11497.58,290.64,5165.6,1082.06,1667.749,352.84,233.13,525.74,115.19,1.75,733.4,308.45,1294.05,4.85,8.2773,1.1105,1.38,1.5677,5.087,1.458,128.54,2.361,27.29,6557.6
2002.5.31,100.8,5177,967.85,1615.73,1067.14,19.98,1208.34,3425.79,11763.7,4818.3,11301.94,279.03,5085.1,1120.08,1515.733,346.28,232.82,476.26,111.81,1.75,697.8,326.55,1221.5,4.85,8.2765,1.0704,1.394,1.5279,5.045,1.4553,124.22,2.513,25.31,6574.8
2002.6.30,93.69,4988,907.81,1463.21,989.81,25.4,1051.41,3133.39,10621.84,4382.56,10598.55,254.04,4656.4,1024.89,1732.755,319.75,218.25,387.58,106.11,1.75,608.5,314.45,1201.25,4.85,8.2771,1.0086,1.32,1.5174,4.799,1.5335,119.47,2.8175,26.86,5979.7
2002.7.31,90.16,5041,830.55,1328.26,911.62,32.03,962.11,2685.79,9877.94,3700.14,10267.36,227.63,4246.2,965,1651.594,294.62,199.73,330.94,107.41,1.73,586.2,303.55,1188,4.85,8.2766,1.0229,1.318,1.5842,4.461,1.5637,119.85,3.46,27.02,5196.7
2002.8.31,92.55,5019,830.58,1314.85,916.07,32.64,942.38,2709.29,9619.3,3712.94,10043.87,226.82,4227.3,941.64,1666.618,298.89,199.85,300.19,106.98,1.74,591.1,312.75,1201.95,4.85,8.2768,1.018,1.185,1.5585,4.143,1.5505,118.46,3.006,28.98,5230.5
2002.9.30,81.37,4526,738.18,1172.06,815.28,39.69,832.52,2204.39,9383.29,2769.03,9072.21,194.76,3721.8,921.05,1581.618,266.11,177.63,238.24,106.87,1.75,467.1,323.55,1222.5,4.85,8.2772,1.0136,1.186,1.5868,3.596,1.5684,121.81,3.7395,30.45,4783
2002.10.31,83.1,5231,791.88,1329.75,885.76,31.14,989.54,2518.99,8640.48,3152.85,9441.25,213.01,4039.7,862.24,1507.496,283.16,190.49,295.15,106.64,1.75,480.5,317.75,1220,4.85,8.2772,1.0098,0.994,1.5584,3.894,1.5651,122.48,3.63,27.22,4949.1
2002.11.30,92.05,5868,833.47,1478.78,936.31,27.5,1116.1,2656.85,9215.56,3320.32,10069.87,222.47,4169.4,892.71,1434.182,302.36,200.6,373.53,106.38,1.34,519,318.15,1208.75,4.85,8.2772,1.0057,1.002,1.5653,4.207,1.5575,122.55,3.653,26.89,5117.5
2002.12.31,79.87,4832,792.21,1335.51,879.82,28.62,984.36,2398.65,8578.95,2892.63,9321.29,203.25,3940.4,843.29,1357.654,292.09,190.8,289.24,101.85,1.24,443.6,348.05,1185.7,7.72,8.277,0.9529,0.909,1.5718,3.816,1.61,118.79,3.54,31.2,4630.8
2003.1.31,75.22,4486,767.48,1320.91,855.7,31.17,983.05,2248.17,8339.94,2747.83,9258.95,189,3567.4,821.18,1499.815,290.44,185.03,271.73,99.91,1.24,433.9,368.15,1174,7.72,8.2769,0.9287,0.812,1.5195,3.964,1.6463,119.87,3.4975,33.51,4422.5
2003.2.28,72.85,4301,752.86,1337.52,841.15,29.63,1009.74,2140.73,8363.04,2547.05,9122.66,181.75,3655.6,818.73,1511.932,281.29,181.51,297.63,99.71,1.26,417.8,349.95,1193.65,7.72,8.2775,0.9253,0.79,1.4846,3.692,1.5724,118.1,3.5685,36.6,4148.2
